iter	Passed	Remaining
438	18533	23683
439	18627	23707
440	18634	23620
441	18825	23765
442	18831	23677
443	18918	23691
444	18924	23601
445	18928	23512
446	18932	23422
447	19022	23437
448	19027	23349
449	19032	23262
450	19117	23271
451	19130	23193
452	19133	23104
453	19218	23113
454	19224	23026
455	19229	22941
456	19318	22954
457	19323	22867
458	19327	22780
459	19416	22793
460	19421	22707
461	19427	22623
462	19517	22636
463	19522	22551
464	19527	22466
465	19617	22479
466	19623	22396
467	19713	22409
468	19720	22327
469	19725	22243
470	19729	221471	19917	22280
472	20007	22291
473	20102	22307
474	20107	22223
475	20113	22141
476	20204	22152
477	20210	22070
478	20216	21988
479479	20319	220480480	20410	220481481	20417	21942
482	20513	21957
483	20520	21876
484	20525	21794
485	20610	21797
486	20616	21716
487	20622	21636
488	20710	216489489	20715	215490490	20817	21580
491	20824	21501
492	20916	21510
493	21011	21522
494	21019	21444
495	21108	21448
496	21122	21377
497	21217	21387
498	21224	21309
499	21229	21229
500	21234	21149
501	21238	21069
502	21431	21175
503	21436	21096
504	21531	21105
505	21624	21111
506	21636	21039
507	21728	21043
508	21732	20964
509	21737	20885
510	21923	20979
511	21928	20900
512	21935	20823
513	22024	20824
514	22030	20747
515	22123	20751
516	22131	20676
517	22324	20772
518	22330	20695
519	22421	20697
520	22431	20622
521	22527	20629
522	22620	20631
523	22626	20553
524	22633	20478
525	22722	20476
526	22736	20406
527	22823	20402
528	22827	20325
529	22832	20247
530	22930	20252
531	22934	20175
532	22937	20096
533	23017	20086
534	23021	20009
535	23025	19932
536	23117	19932
537	23126	19859
538	23219	19859
539	23223	19782
540	23229	19708
541	23321	19706
542	23330	19635
543	23424	19634
544	23429	19560
545	23517	19554
546	23526	19483
547	23531	19409
548	23619	19403
549	23624	19329
550	23629	19255
551	23718	19249
552	23722	19175
553	23727	19101
554	23816	19095
555	23819	19021
556	23915	19021
557	23921	18948
558	23926	18876
559	23932	18804
560	24014	18791
561	24019	18719
562	24024	18647
563	24114	18641
564	24119	18569
565	24123	18497
566	24212	18490
567	24216	184568	24306	18411
569	24310	18339
570	24405	18336
571	24414	18267
572572	24523	182573	24516	18195
574574	24620	181575	24702	18184
576576	24719	181577577	24811	18115
578	24818	18045
579	24908	18037
580	24914	17967
581	24922	17899
582	25011	17890
583	25017	17820
584	25107	17811
585	25112	17741
586	25117	17672
587	25206	17661
588	25215	17594
589	25309	17588
590	25314	17519
591	25319	17449
592	25417	17445
593	25421	17375
594	25510	17364
595	25515	17296
596	25520	17227
597	25608	17215
598	25615	17148
599	25707	17138
600	25712	17070
601	25804	17059
602	25811	16993
603	25817	16926
604	25907	16914
605	25912	16847
606	25918	16780
607	26006	16767
608	26012	16700
609	26102	16688
610	26108	16621
611	26114	16556
612	26204	16543
613	26213	16479
614	26216	16412
615	26303	16397
616	26308	16330
617	26313	16264
618	26402	16250
619	26407	16185
620	26412	16119
621	26501	16105
622	26507	16040
623	26512	15975
624	26601	15960
625	26607	15896
626	26612	15831
627	26699	15815
628	26705	15751
629	26710	15687
630	26800	15672
631	26808	15610
632	26814	15546
633	26901	15530
634	26907	15466
635	26912	15402
636	27001	15387
637	27009	15325
638	27099	15309
639	27105	15246
640	27110	15183
641	27200	15167
642	27206	15105
643	27211	15042
644	27297	15024
645	27302	14961
646	27307	14899
647	27404	14886
648	27410	14824
649	27502	14808
650	27507	14746
651	27602	14732
652	27609	14671
653	27699	14654
654	27704	14592
655	27709	14530
656	27799	14513
657	27806	14452
658	27895	14434
659	27902	14373
660	27908	14313
661	28001	14296
662	28007	14236
663	28095	14217
664	28101	14156
665	28195	14140
666	28200	14079
667	28206	14018
668	28209	13957
669	28295	13936
670	28300	13876
671	28305	13815
672	28310	13755
673	28396	13734
674	28401	13674
675	28405	13614
676	28496	13595
677	28500	13535
678	28603	13522
679	28695	13503
680	28701	13444
681	28795	13426
682	28800	13367
683	28891	13347
684	28896	13288
685	28902	13229
686	28992	13209
687	29091	13192
688	29096	13133
689	29102	13074
690	29197	13056
691	29290	13036
692	29299	12979
693	29304	12921
694	29394	12899
695	29398	12840
696	29402	127697697	29491	127698698	29502	127699699	29596	126700700	29788	127701701	29796	126702702	29894	126703	29984	12607
704	29989	12548
705705	30003	124706706	30107	12477
707	30118	12421
708	30209	12399
709	30214	12340
710	30303	12317
711	30310	12260
712	30402	12237
713	30407	121714714	30417	12124
715	30503	12099
716	30509	120717717	30514	119718718	30605	119719719	30610	119720	30609	11844
721721	30705	118722722	30711	117723723	30715	117724	30802	11683
725	30897	11661
726	30904	11605
727	30994	11580
728	31002	11525
729	31010	11469
730	31096	11443
731	31103	11387
732	31194	11362
733	31205	11308
734	31296	11283
735	31302	11228
736	31310	11173
737	31397	11146
738	31403	11091
739	31492	11065
740	31497	11009
741	31503	10954
742	31598	10929
743	31691	10904
744	31698	10849
745	31703	10794
746	31793	10768
747	31798	10712
748	31803	10657
749	31894	10631
750	31901	10577
751	31995	10551
752	32089	10525
753	32094	10471
754	32099	10416
755	32189	10389
756	32195	10334
757	32200	10280
758	32303	10257
759	32308	10202
760	32400	10175
761	32493	10148
762	32500	10095
763	32589	10066
764	32594	10012
765	32598	9958
766	32602	9904
767	32688	9874
768	32695	9821
769	32702	9768
770	32789	9739
771	32794	9685
772	32800	9632
773	32888	9603
774	32892	9549
775	32897	9496
776	32993	9469
777	32999	9416
778	33086	9386
779	33094	9334
780	33184	9305
781	33196	9254
782	33200	9201
783	33288	9171
784	33294	9118
785	33299	9066
786	33388	9036
787	33394	8984
788	33485	8954
789	33490	8902
790	33496	8850
791	33584	8820
792	33696	8795
793	33787	8766
794	33881	8736
795	33886	8684
796	33892	8632
797	33983	8602
798	33990	8550
799	34187	8546
800	34193	8495
801	34284	8464
802	34380	8434
803	34388	8383
804	34489	8354
805	34493	8302
806	34581	8270
807	34682	8241
808	34688	8189
809	34693	8138
810	34780	8105
811	34788	8054
812	34795	8003
813	34882	7970
814	34887	7919
815	34892	7867
816	34982	7835
817	34988	7784
818	35080	7752
819	35087	7702
820	35178	7669
821	35185	7619
822	35280	7587
823	35287	7537
824	35380	7504
825	35388	7454
826	35393	7403
827	35479	7370
828	35485	7319
829	35491	7269
830	35580	7235
831	35585	7185
832	35674	7152
833	35681	7102
834	35688	7052
835	35691	7001
836	35878	6987
837	35883	6936
838	35888	6886
839	35978	6853
840	35986	6803
841	36077	6769
842	36085	6720
843	36176	6686
844	36183	6637
845	36189	6587
846	36280	6553
847	36285	6503
848	36375	6469
849	36380	6420
850	36471	6385
851	36476	6336
852	36570	6302
853	36583	6254
854	36675	6219
855	36680	6170
856	36685	6121
857	36773	6086
858	36778	6037
859	36783	5988
860	36876	5953
861	36880	5904
862	36969	5868
863	36973	5819
864	36977	5771
865	36982	5722
866	37071	5686
867	37075	5638
868	37079	5589
869	37168	5553
870	37172	5505
871	37176	5457
872	37179	5408
873	37268	5372
874	37273	5324
875	37277	5276
876	37367	5240
877	37372	5192
878	37467	5157
879	37472	5109
880	37565	5074
881	37574	5026
882	37666	4990
883	37671	4943
884	37868	4920
885	37875	4873
886	37880	4825
887	37969	4788
888	37975	4741
889	37980	4694
890	38164	4668
891	38176	4622
892	38364	4596
893	38466	4560
894	38474	4513
895	38573	4477
896	38762	4450
897	38768	4403
898	38774	4356
899	38780	4308
900	38866	4270
901	38872	4223
902	38877	4176
903	38966	4138
904	38971	4090
905	39060	4052
906	39065	4005
907	39070	3958
908	39161	3920
909	39167	3873
910	39173	3827
911	39371	3798
912	39375	3752
913	39466	3713
914	39560	3675
915	39570	3628
916	39660	3589
917	39665	3543
918	39670	3496
919	39759	3457
920	39763	3410
921	39769	3364
922	39860	3325
923	39866	3279
924	39871	3232
925	39961	3193
926	39967	3147
927	40057	3107
928	40062	3061
929	40066	3015
930	40070	2969
931	40158	2930
932	40162	2884
933	40169	2838
934	40173	2792
935	40256	2752
936	40262	2707
937	40266	2661
938	40270	2616
939	40358	2576
940	40363	2530
941	40368	2485
942	40457	2445
943	40462	2400
944	40466	2355
945	40470	2310
946	40473	2265
947	40557	2224
948	40561	2179
949	40565	2135
950	40569	2090
951	40572	2045
952	40654	2004
953	40658	1960
954	40662	1916
955	40665	1871
956	40667	1827
957	40670	1783
958	40672	1738
959	40675	1694
960	40677	1650
961	40679	1606
962	40682	1563
963	40684	1519
964	40686	1475
965	40689	1432
966	40691	1388
967	40695	1345
968	40755	1303
969	40757	1260
970	40759	1217
971	40762	1174
972	40765	1131
973	40768	1088
974	40770	1045
975	40772	1002
976	40774	959
977	40776	917
978	40778	874
979	40780	832
980	40782	789
981	40784	747
982	40786	705
983	40789	663
984	40791	621
985	40792	579
986	40794	537
987	40796	495
988	40798	453
989	40801	412
990	40803	370
991	40805	329
992	40807	287
993	40809	246
994	40811	205
995	40813	163
996	40815	122
997	40817	81
998	40819	40
999	40821	0
98	40612	40
999	40614	0
