iter	RMSE
581	17172.61377
582	17171.88033
583	17170.81807
584	17169.73235
585	17168.77658
586	17168.269
587	17167.55199
588	17166.52484
589	17165.82953
590	17165.77062
591	17165.06904
592	17164.10079
593	17163.58307
594	17163.39135
595	17162.5511
596	17161.6879
597	17160.71198
598	17159.61898
599	17158.87041
600	17157.72108
601	17156.66563
602	17154.02375
603	17153.22936
604	17151.80505
605	17150.83109
606	17150.26815
607	17148.87905
608	17147.91291
609	17146.12481
610	17145.55934
611	17144.59586
612	17144.0582
613	17143.31378
614	17142.88172
615	17141.83964
616	17140.99852
617	17140.61426
618	17139.66341
619	17138.49789
620	17137.44827
621	17136.73371
622	17135.83359
623	17135.44016
624	17134.70059
625	17133.57838
626	17132.39396
627	17131.57841
628	17129.74592
629	17128.70455
630	17128.26514
631	17127.76501
632	17127.20434
633	17126.49806
634	17125.78696
635	17125.04438
636	17124.0484
637	17123.01811
638	17122.18432
639	17121.2241
640	17121.18563
641	17120.44195
642	17119.33803
643	17118.69962
644	17118.06294
645	17116.88049
646	17115.95166
647	17115.83159
648	17114.81387
649	17113.91386
650	17113.2775
651	17112.63402
652	17111.45119
653	17110.02392
654	17109.50688
655	17108.68258
656	17107.87967
657	17106.98979
658	17106.12135
659	17105.25189
660	17104.31522
661	17103.5673
662	17102.88815
663	17102.13651
664	17101.02589
665	17100.22538
666	17100.01004
667	17099.07016
668	17098.2989
669	17097.7191
670	17096.69529
671	17096.22272
672	17095.48322
673	17093.17505
674	17092.38323
675	17091.65485
676	17090.4492
677	17089.81977
678	17088.84053
679	17087.78699
680	17086.93198
681	17085.95644
682	17085.11985
683	17083.81939
684	17082.99039
685	17082.25118
686	17081.1992
687	17080.7414
688	17079.98251
689	17078.59026
690	17077.57419
691	17076.97873
692	17075.33863
693	17074.56093
694	17074.10104
695	17073.75389
696	17073.18977
697	17072.56143
698	17071.69306
699	17070.38918
700	17069.76176
701	17069.63503
702	17068.84394
703	703	17057.10704	704	17055.95705	17066.16384
706	17066.0151
707	17065.48001
708	17064.87172
709	17064.38205
710	17063.3026
711	17062.97148
712	17062.5277
713	17062.03879
714	17061.37174
715	17060.88685
716	17059.89181
717	17059.17274
718	17058.87437
719	17058.60299
720	720	17044.65721	17055.44926
722	17054.47149
723	17053.65439
724	724	17041.54725	725	17040.73726	726	17040.1727	1727	17039.0728	1728	17038.1729	1729	17037.51989
730	17036.5731	1731	17035.92628
732	17035.50425
733	17034.87703
734	17034.3295
735	17033.66844
736	17033.03837
737	17032.42993
738	17032.17979
739	17030.7389
740	17030.144741741	17029.332742742	17027.13179
743	17026.84484
744	17026.16161
745	17025.29977
746	17024.32517
747	17023.86036
748	17022.87558
749	17022.18077
750	17021.63694
751	17020.62889
752	17020.20311
753	17019.73949
754	17019.1866
755	17018.38719
756	17017.74763
757	17017.17135
758	17016.50133
759	17015.90876
760	17015.46268
761	17014.81376
762	17014.00792
763	17013.43518
764	17012.61454
765	17012.34581
766	17011.84089
767	17011.45145
768	17011.02546
769	17009.56897
770	17008.63967
771	17008.00125
772	17007.49817
773	17006.7103
774	17006.37679
775	17005.8977
776	17005.01748
777	17004.56115
778	17003.23169
779	17002.48494
780	17001.61558
781	17000.63799
782	17000.01498
783	16999.60279
784	16998.98016
785	16998.62172
786	16998.22876
787	16997.20882
788	16996.43352
789	16995.1771
790	16994.3656
791	16994.26898
792	16993.27613
793	16992.71587
794	16992.25414
795	16991.24495
796	16990.62084
797	16989.72824
798	16988.9859
799	16988.25555
800	16987.77567
801	16986.92853
802	16985.89798
803	16985.09225
804	16984.27825
805	16983.58695
806	16983.13449
807	16982.365
808	16981.89631
809	16981.16461
810	16980.36403
811	16979.91308
812	16979.33736
813	16978.65563
814	16977.93816
815	16977.65678
816	16977.10383
817	16976.11509
818	16975.30513
819	16974.43982
820	16973.84132
821	16973.07579
822	16972.60854
823	16972.15914
824	16971.46859
825	16970.9352
826	16969.66359
827	16968.52103
828	16968.32995
829	16967.50544
830	16966.6566
831	16965.85798
832	16964.90041
833	16964.00634
834	16963.45879
835	16962.75068
836	16962.32549
837	16961.82964
838	16961.02968
839	16960.29663
840	16959.55573
841	16958.95686
842	16958.38799
843	16957.16215
844	16956.4852
845	16955.52788
846	16954.94795
847	16954.12043
848	16953.50146
849	16953.1246
850	16952.82194
851	16952.16209
852	16951.51307
853	16950.99939
854	16949.85497
855	16948.98078
856	16948.55258
857	16948.19147
858	16947.77843
859	16947.10754
860	16946.3684
861	16945.62634
862	16945.09033
863	16944.6415
864	16944.28018
865	16943.91177
866	16942.75128
867	16942.33288
868	16941.36009
869	16940.50486
870	16939.95723
871	16939.07645
872	16938.81556
873	16938.28898
874	16937.45985
875	16936.49246
876	16936.02198
877	16935.28252
878	16934.74066
879	16933.90095
880	16933.16631
881	16932.56384
882	16932.11389
883	16931.34608
884	16929.44022
885	16928.28722
886	16927.61215
887	16926.74574
888	16926.24711
889	16925.76219
890	16925.13728
891	16924.8198
892	16923.93156
893	16923.12965
894	16922.83202
895	16921.75792
896	16921.4383
897	16920.63955
898	16920.31215
899	16919.0281
900	16918.50608
901	16918.14093
902	16917.76307
903	16917.12854
904	16916.17271
905	16915.41007
906	16914.82973
907	16914.37837
908	16913.97953
909	16913.17965
910	16912.2419
911	16911.9176
912	16911.57708
913	16911.23043
914	16910.96352
915	16910.3259
916	16909.79488
917	16909.20194
918	16908.42346
919	16908.01531
920	16907.50376
921	16906.96374
922	16906.48844
923	16905.84858
924	16904.58403
925	16904.08621
926	16903.77902
927	16903.51003
928	16902.91299
929	16902.50672
930	16902.19748
931	16901.25472
932	16900.98308
933	16900.23118
934	16899.18923
935	16898.56613
936	16897.71598
937	16897.30095
938	16896.78005
939	16896.17476
940	16895.84134
941	16895.0704
942	16894.4826
943	16893.63847
944	16892.72138
945	16891.91155
946	16890.99595
947	16889.43765
948	16888.92193
949	16887.86113
950	16887.21704
951	16886.59342
952	16886.10419
953	16885.24743
954	16884.52349
955	16883.98132
956	16883.15233
957	16881.74922
958	16881.18038
959	16880.70751
960	16879.85008
961	16877.42335
962	16876.71027
963	16876.24771
964	16875.88334
965	16875.49047
966	16874.88898
967	16874.28839
968	16873.28696
969	16872.91481
970	16872.83787
971	16872.24362
972	16871.80289
973	16871.35073
974	16870.73731
975	16869.79975
976	16869.05765
977	16868.4834
978	16867.98758
979	16866.75088
980	16866.46735
981	16866.30633
982	16865.29178
983	16863.24632
984	16862.99095
985	16862.50492
986	16862.2639
987	16861.76478
988	16861.2482
989	16860.68962
990	16859.21418
991	16858.90625
992	16858.6009
993	16857.88475
994	16857.07891
995	16855.66686
996	16855.20808
997	16854.87701
998	16853.70639
999	16852.85793
.50915
332
751
